question_id,is_correct,late_arithmetic,verbose_ungrounded,early_branching,depth,frac_facts,n_steps
gsm-hard-0,True,0,1,0,6,0.25,8
gsm-hard-1,True,0,0,0,3,0.5,6
gsm-hard-2,False,0,1,1,6,0.272727,11
gsm-hard-3,True,0,0,0,5,0.375,8
gsm-hard-4,True,0,0,0,5,0.166667,6
gsm-hard-5,True,0,0,0,4,0.444444,9
gsm-hard-6,True,0,1,1,5,0.25,12
gsm-hard-7,True,0,0,1,8,0.416667,12
gsm-hard-8,True,0,0,0,3,0.5,6
gsm-hard-9,False,0,0,0,4,0.333333,6
gsm-hard-10,True,0,0,1,4,0.166667,6
gsm-hard-11,True,0,0,0,4,0.428571,7
gsm-hard-12,True,0,0,0,4,0.428571,7
gsm-hard-13,True,0,0,0,3,0.333333,6
gsm-hard-14,True,0,1,0,6,0.25,8
gsm-hard-15,True,0,0,0,3,0.2,5
gsm-hard-16,False,0,1,0,8,0.2,10
gsm-hard-17,True,0,1,0,7,0.2,10
gsm-hard-18,False,0,1,0,6,0.2,10
gsm-hard-19,True,0,0,0,5,0.428571,7
gsm-hard-20,False,0,1,0,7,0.222222,9
gsm-hard-21,True,0,0,1,3,0.2,5
gsm-hard-22,True,0,0,0,5,0.142857,7
gsm-hard-23,False,0,1,1,6,0.181818,11
gsm-hard-24,True,0,0,0,3,0.428571,7
gsm-hard-25,True,0,0,0,4,0.428571,7
gsm-hard-26,True,0,1,0,4,0.25,8
gsm-hard-27,False,0,1,0,5,0.25,8
gsm-hard-28,True,0,0,0,3,0.5,6
gsm-hard-29,True,0,1,1,7,0.1,10
gsm-hard-30,True,0,0,1,4,0.375,8
gsm-hard-31,False,0,1,0,5,0.222222,9
gsm-hard-32,True,0,0,0,5,0.444444,9
gsm-hard-33,True,0,0,0,3,0.5,6
gsm-hard-34,True,0,0,0,4,0.285714,7
gsm-hard-35,True,0,0,0,4,0.2,5
gsm-hard-36,True,0,0,0,5,0.285714,7
gsm-hard-37,True,0,0,0,5,0.375,8
gsm-hard-38,True,0,0,0,3,0.428571,7
gsm-hard-39,False,0,0,0,4,0.2,5
gsm-hard-40,True,0,0,0,7,0.363636,11
gsm-hard-41,True,0,0,0,5,0.375,8
gsm-hard-42,False,0,0,0,5,0.333333,9
gsm-hard-43,False,0,1,1,9,0.133333,15
gsm-hard-44,True,0,0,0,4,0.285714,7
gsm-hard-45,True,0,0,0,3,0.375,8
gsm-hard-46,True,0,0,0,5,0.142857,7
gsm-hard-47,True,0,0,0,5,0.363636,11
gsm-hard-48,False,0,1,1,8,0.222222,18
gsm-hard-49,False,0,0,0,4,0.375,8
gsm-hard-b2-0,False,0,0,0,4,0.375,8
gsm-hard-b2-1,False,0,1,0,8,0.111111,9
gsm-hard-b2-2,False,0,1,0,7,0.222222,9
gsm-hard-b2-3,False,0,0,1,4,0.166667,6
gsm-hard-b2-4,True,0,0,0,4,0.333333,6
gsm-hard-b2-5,True,0,0,0,4,0.375,8
gsm-hard-b2-6,False,0,1,1,7,0.25,12
gsm-hard-b2-7,True,0,0,0,4,0.428571,7
gsm-hard-b2-8,False,0,0,0,4,0.375,8
gsm-hard-b2-9,False,0,0,0,4,0.333333,12
gsm-hard-b2-10,False,0,0,0,5,0.3,10
gsm-hard-b2-11,True,0,0,0,4,0.5,8
gsm-hard-b2-12,True,0,0,0,3,0.5,6
gsm-hard-b2-13,True,0,0,0,6,0.333333,9
gsm-hard-b2-14,False,0,0,0,5,0.444444,9
gsm-hard-b2-15,True,0,0,0,3,0.4,5
gsm-hard-b2-16,True,0,0,0,4,0.428571,7
gsm-hard-b2-17,True,0,0,0,3,0.5,6
gsm-hard-b2-18,True,0,0,0,4,0.333333,6
gsm-hard-b2-19,True,0,1,0,4,0.25,8
gsm-hard-b2-20,True,0,0,0,3,0.5,6
gsm-hard-b2-21,False,0,0,0,5,0.461538,13
gsm-hard-b2-22,True,0,0,0,5,0.166667,6
gsm-hard-b2-23,True,0,1,0,12,0.133333,15
gsm-hard-b2-24,True,0,1,0,7,0.25,8
gsm-hard-b2-25,False,0,0,0,3,0.428571,7
gsm-hard-b2-26,True,0,0,0,3,0.428571,7
gsm-hard-b2-27,False,0,0,1,3,0.375,8
gsm-hard-b2-28,True,0,0,0,5,0.166667,6
gsm-hard-b2-29,True,0,0,0,5,0.333333,9
gsm-hard-b2-30,True,0,0,0,4,0.444444,9
gsm-hard-b2-31,True,0,0,0,3,0.2,5
gsm-hard-b2-32,True,0,0,0,5,0.375,8
gsm-hard-b2-33,True,0,0,0,5,0.375,8
gsm-hard-b2-34,True,0,0,0,3,0.5,6
gsm-hard-b2-35,True,0,0,0,2,0.25,4
gsm-hard-b2-36,False,0,0,0,4,0.375,8
gsm-hard-b2-37,True,0,0,0,5,0.375,8
gsm-hard-b2-38,True,0,0,0,3,0.333333,6
gsm-hard-b2-39,True,0,0,0,4,0.333333,6
gsm-hard-b2-40,True,0,0,0,5,0.363636,11
gsm-hard-b2-41,True,0,0,0,3,0.4,5
gsm-hard-b2-42,True,0,0,0,3,0.5,6
gsm-hard-b2-43,True,0,0,0,3,0.375,8
gsm-hard-b2-44,True,0,0,0,5,0.142857,7
gsm-hard-b2-45,True,0,0,0,3,0.428571,7
gsm-hard-b2-46,False,0,0,0,6,0.454545,11
gsm-hard-b2-47,True,0,0,0,4,0.5,8
gsm-hard-b2-48,False,0,0,0,4,0.375,8
gsm-hard-b2-49,False,0,1,0,5,0.25,8
gsm-hard-b2-50,True,1,1,0,6,0.0,8
gsm-hard-b2-51,True,0,0,0,4,0.285714,7
gsm-hard-b2-52,True,0,0,0,4,0.428571,7
gsm-hard-b2-53,True,0,0,0,4,0.428571,7
gsm-hard-b2-54,True,0,0,0,4,0.333333,6
gsm-hard-b2-55,False,0,1,0,5,0.222222,9
gsm-hard-b2-56,True,0,0,0,4,0.333333,6
gsm-hard-b2-57,True,0,0,1,4,0.285714,7
gsm-hard-b2-58,True,0,0,0,3,0.333333,6
