question_id,is_correct,has_offschema_node,orphan_fact,linear_chain,high_fanin_conclude,failed_verification,linear_chain_x_nsteps,depth,n_steps,frac_facts
gsm-hard-0,True,0,0,0,0,1,0,5,7,0.285714
gsm-hard-1,True,0,0,0,0,0,0,3,6,0.5
gsm-hard-2,False,0,0,0,0,1,0,5,8,0.375
gsm-hard-3,True,1,0,1,0,0,9,6,9,0.333333
gsm-hard-4,True,0,0,0,0,0,0,5,6,0.166667
gsm-hard-5,True,0,0,0,0,0,0,4,9,0.444444
gsm-hard-6,True,0,0,0,0,0,0,5,10,0.2
gsm-hard-7,True,0,0,1,0,0,8,6,8,0.125
gsm-hard-8,True,0,1,1,0,0,8,4,8,0.375
gsm-hard-9,False,1,0,0,0,0,0,4,6,0.333333
gsm-hard-10,True,0,0,0,0,0,0,4,6,0.166667
gsm-hard-11,True,0,0,0,0,0,0,3,6,0.5
gsm-hard-12,True,0,0,1,0,0,7,4,7,0.428571
gsm-hard-13,True,0,0,0,0,0,0,3,6,0.333333
gsm-hard-14,True,0,0,0,0,0,0,6,9,0.333333
gsm-hard-15,True,0,0,0,0,0,0,3,5,0.2
gsm-hard-16,True,0,0,1,0,0,7,5,7,0.285714
gsm-hard-17,True,0,0,0,0,0,0,5,7,0.142857
gsm-hard-18,False,0,0,1,0,0,10,5,10,0.2
gsm-hard-19,True,0,0,0,0,0,0,4,6,0.333333
gsm-hard-20,False,1,0,1,0,0,7,5,7,0.285714
gsm-hard-21,True,0,0,0,0,0,0,4,6,0.166667
gsm-hard-22,True,1,0,0,0,0,0,5,6,0.166667
gsm-hard-23,False,1,0,1,0,0,7,4,7,0.285714
gsm-hard-24,True,1,0,0,0,1,0,5,9,0.333333
gsm-hard-25,True,0,0,0,0,1,0,8,10,0.3
gsm-hard-26,True,0,0,0,0,0,0,4,7,0.142857
gsm-hard-27,False,1,0,1,0,0,7,5,7,0.285714
gsm-hard-28,True,0,0,0,0,0,0,3,6,0.5
gsm-hard-29,True,0,0,0,0,0,0,6,9,0.111111
gsm-hard-30,False,1,0,0,0,0,0,5,10,0.4
gsm-hard-31,False,0,0,0,0,0,0,4,8,0.25
gsm-hard-32,True,0,0,0,0,1,0,6,11,0.363636
gsm-hard-33,True,0,0,1,0,0,9,5,9,0.222222
gsm-hard-34,True,0,0,1,0,0,7,4,7,0.285714
gsm-hard-35,True,0,0,0,0,0,0,4,5,0.2
gsm-hard-36,True,1,0,0,0,0,0,4,6,0.333333
