question_id,is_correct,gold,predicted,rel_error,log10_error,steps
gsm-hard-0,True,1227498.3333333333,1227498.0,2.7155501902030265e-07,-6.566140566657641,7
gsm-hard-1,True,3473609.0,3473609.0,0.0,-12.0,6
gsm-hard-2,False,-2.9999834061,12.0,5.000022125322381,0.6989719261129378,8
gsm-hard-3,True,5407462.8,5407463.0,3.698592252659871e-08,-7.4319518023779665,9
gsm-hard-4,True,51.0,51.0,0.0,-12.0,6
gsm-hard-5,True,134367812.0,134367812.5436776,4.046189263229138e-09,-8.39284648573591,9
gsm-hard-6,True,11909809.0,11909809.0,0.0,-12.0,10
gsm-hard-7,True,2796088.0,2796088.0,0.0,-12.0,8
gsm-hard-8,True,60954715.0,60954715.0,0.0,-12.0,8
gsm-hard-9,False,-1346810.5,0.0,1.0,4.343330909353833e-13,6
gsm-hard-10,True,66476740.0,66476740.0,0.0,-12.0,6
gsm-hard-11,True,-993656.0,-993656.0,0.0,-12.0,6
gsm-hard-12,True,84784.26,84784.0,3.066606938537428e-06,-5.5133417444002,7
gsm-hard-13,True,-84732404.0,-84732404.0,0.0,-12.0,6
gsm-hard-14,True,14609835.600000001,14609835.6,1.2749254681763543e-16,-11.999944634219721,9
gsm-hard-15,True,70.0,70.0,0.0,-12.0,5
gsm-hard-16,True,12274570.666666666,12274570.666666668,1.5174829326529796e-16,-11.999934101553459,7
gsm-hard-17,True,9810512.0,9810511.0,1.0193147921331731e-07,-6.991687412699907,7
gsm-hard-18,False,-9825743600.0,9825743600.0,2.0,0.30102999566419836,10
gsm-hard-19,True,19462.0,19462.0,0.0,-12.0,6
gsm-hard-20,False,3.509e-07,827012.0,2356831005983.611,12.372328443024953,7
gsm-hard-21,True,30.0,30.0,0.0,-12.0,6
gsm-hard-22,True,48.0,48.0,0.0,-12.0,6
gsm-hard-23,False,66789176.0,61955435544358.0,927625.8888892715,5.967372860756007,7
gsm-hard-24,True,15.0,15.0,0.0,-12.0,9
gsm-hard-25,True,16.0,16.0,0.0,-12.0,10
gsm-hard-26,True,7362938.25,7362939.0,1.0186150888879178e-07,-6.9919856312902215,7
gsm-hard-27,False,1.69726e-05,36.0,2121064.717686153,6.326553919862711,7
gsm-hard-28,True,78.0,78.0,0.0,-12.0,6
gsm-hard-29,True,9284017268534.4,9284017268534.4,0.0,-12.0,9
gsm-hard-30,False,4136837.0,1.0,0.9999997582694218,-1.0498183463238146e-07,10
gsm-hard-31,False,511126480.0,2214877280.0,3.3333252466199754,0.5228776916746934,8
gsm-hard-32,True,12731554.349999998,12731554.35,1.4630147254808345e-16,-11.99993646672517,11
gsm-hard-33,True,34482769.2,34482769.2,0.0,-12.0,9
gsm-hard-34,True,6588585.0,6588585.0,0.0,-12.0,7
gsm-hard-35,True,34.0,34.0,0.0,-12.0,5
gsm-hard-36,True,39652742.0,39652742.0,0.0,-12.0,6
gsm-hard-37,True,4083406.0,4083406.0,0.0,-12.0,8
gsm-hard-38,True,21089052.0,21089052.0,0.0,-12.0,7
gsm-hard-39,False,2518759.68,1574224.8,0.375,-0.42596873227112303,6
gsm-hard-40,True,1.2477e-06,1.24761e-06,7.21327242125056e-05,-4.141867659624776,10
gsm-hard-41,True,0.0007140996,0.00071403,9.74653955834592e-05,-4.011149545740158,8
gsm-hard-42,False,5697664.0,4558134.0,0.19999950857052995,-0.6989710714606938,7
gsm-hard-43,False,82436229.0,94385375005006.12,1144949.1772455666,6.058786209355669,7
gsm-hard-44,True,108224794.2,108224794.2,0.0,-12.0,8
gsm-hard-45,False,11385058.0,14.0,0.9999987703180783,-5.34043967171766e-07,8
gsm-hard-46,True,17189546.0,17189546.0,0.0,-12.0,8
gsm-hard-47,True,3826855.0,3826855.0,0.0,-12.0,10
gsm-hard-48,False,9435680550.0,419.0,0.999999955594088,-1.9284808665995e-08,8
gsm-hard-b2-8,False,19428586.0,64285676.0,2.3088190772092214,0.36338990223386985,8
gsm-hard-b2-9,False,-24676889.0,9.0,1.0000003647137206,1.5839356176142008e-07,9
gsm-hard-b2-10,False,828892440.0,-715716882226985.0,863462.7082850762,5.936243585753229,8
gsm-hard-b2-11,True,1631200.5,1631200.5,0.0,-12.0,8
gsm-hard-b2-12,True,120.0,120.0,0.0,-12.0,5
gsm-hard-b2-13,True,1577680.0,1577680.0,0.0,-12.0,9
gsm-hard-b2-14,True,4364332.0,4364332.0,0.0,-12.0,7
gsm-hard-b2-15,True,19866270.0,19866270.0,0.0,-12.0,6
gsm-hard-b2-16,True,60.0,60.0,0.0,-12.0,7
gsm-hard-b2-17,True,272.0,272.0,0.0,-12.0,10
gsm-hard-b2-18,True,758978.0,758978.0,0.0,-12.0,5
gsm-hard-b2-19,True,8089491.0,8089491.0,0.0,-12.0,8
gsm-hard-b2-20,True,23252172.0,23252172.0,0.0,-12.0,6
gsm-hard-b2-21,False,650579.5,1301149.0,0.9999846290883743,-6.675552971389383e-06,12
gsm-hard-b2-22,True,3731352.0,3731352.0,0.0,-12.0,7
gsm-hard-b2-23,True,0.0003712048,0.000371222,4.633560772923898e-05,-4.3340851271068175,7
gsm-hard-b2-24,True,145.0,145.0,0.0,-12.0,8
gsm-hard-b2-25,False,5316750.0,6.0,0.9999988714910425,-4.901050552813527e-07,9
gsm-hard-b2-26,True,348340440.0,348340440.0,0.0,-12.0,10
gsm-hard-b2-27,False,3981224.8,4.0,0.9999989952840643,-4.363423716570814e-07,11
gsm-hard-b2-28,True,4349512.0,4349512.0,0.0,-12.0,6
gsm-hard-b2-29,True,2390629.2,2390629.2,0.0,-12.0,10
gsm-hard-b2-30,True,3283606.0,3283606.0,0.0,-12.0,8
gsm-hard-b2-31,True,16.0,16.0,0.0,-12.0,4
gsm-hard-b2-32,True,12797043.0,12797043.0,0.0,-12.0,8
gsm-hard-b2-33,True,15611106.0,15611106.0,0.0,-12.0,7
gsm-hard-b2-34,True,5.0,5.0,0.0,-12.0,6
gsm-hard-b2-35,True,8.0,8.0,0.0,-12.0,5
gsm-hard-b2-36,False,1111117.0,972228.0,0.12499943750298123,-0.9030919413076771,9
gsm-hard-b2-37,True,283872.5,283872.5,0.0,-12.0,5
gsm-hard-b2-38,True,2.0,2.0,0.0,-12.0,6
gsm-hard-b2-39,True,28591421.0,28591421.0,0.0,-12.0,6
gsm-hard-b2-40,True,3222248.75,3222248.75,0.0,-12.0,9
gsm-hard-b2-41,True,7186949.0,7186949.0,0.0,-12.0,5
gsm-hard-b2-42,True,1884094.0,1884094.0,0.0,-12.0,6
gsm-hard-b2-43,True,19992825.0,19992825.0,0.0,-12.0,9
gsm-hard-b2-44,True,55801500.0,55801500.0,0.0,-12.0,7
gsm-hard-b2-45,True,8286943.0,8286943.0,0.0,-12.0,7
gsm-hard-b2-46,False,-28311378.0,0.0,1.0,4.343330909353833e-13,12
gsm-hard-b2-47,True,24419850.0,24419850.0,0.0,-12.0,8
gsm-hard-b2-48,True,-9912047.0,-9912047.0,0.0,-12.0,7
gsm-hard-b2-49,True,25.0,25.0,0.0,-12.0,6
gsm-hard-b2-50,True,32.0,32.0,0.0,-12.0,8
gsm-hard-b2-51,True,189.0,189.0,0.0,-12.0,7
gsm-hard-b2-52,True,785784.96,785790.0,6.413968523955018e-06,-5.192873107957564,8
gsm-hard-b2-53,True,250.0,250.0,0.0,-12.0,7
gsm-hard-b2-54,True,4585.2,4585.2,0.0,-12.0,5
gsm-hard-b2-55,True,0.0207821553,0.020784,8.876365195864852e-05,-4.051764833218546,7
gsm-hard-b2-56,True,1488610.0,1488610.0,0.0,-12.0,8
gsm-hard-b2-57,True,79.0,79.0,0.0,-12.0,5
gsm-hard-b2-58,True,571464.0,571464.0,0.0,-12.0,5
gsm-hard-b2-59,True,5600.0,5600.0,0.0,-12.0,7
gsm-hard-b2-60,True,5573022.0,5573022.0,0.0,-12.0,7
gsm-hard-b2-61,True,6.0,6.0,0.0,-12.0,5
gsm-hard-b2-62,True,5579492.0,5579492.0,0.0,-12.0,7
gsm-hard-b2-63,False,-176205698.0,77621359978918.0,440516.60681606334,5.643962285307956,9
gsm-hard-b2-64,True,353222840.0,353222840.0,0.0,-12.0,9
gsm-hard-b2-65,True,153.0,153.0,0.0,-12.0,8
gsm-hard-b2-66,True,5.0,5.0,0.0,-12.0,4
gsm-hard-b2-67,True,3.0,3.0,0.0,-12.0,4
gsm-hard-b2-68,False,48179.4285714286,2479.82,0.9485294850202813,-0.022949164529652014,9
gsm-hard-b2-69,True,130063374.0,130063374.0,0.0,-12.0,6
gsm-hard-b2-70,True,45989937.0,45989937.0,0.0,-12.0,8
gsm-hard-b2-71,True,4482073.5,4482073.5,0.0,-12.0,7
gsm-hard-b2-72,True,4064050.0,4064050.0,0.0,-12.0,6
gsm-hard-b2-73,True,5.0,5.0,0.0,-12.0,7
gsm-hard-b2-74,False,36.0000102016,92.0,1.5555548313681065,0.19188532405375122,9
gsm-hard-b2-75,True,14.0,14.0,0.0,-12.0,9
gsm-hard-b2-76,True,1800.0,1800.0,0.0,-12.0,8
gsm-hard-b2-77,True,-1277765.0,-1277765.0,0.0,-12.0,7
gsm-hard-b2-78,True,43200.0,43200.0,0.0,-12.0,7
gsm-hard-b2-79,False,1.1973e-06,1.0,835211.5615969264,5.92179649751522,7
gsm-hard-b2-80,True,4736666.0,4736666.0,0.0,-12.0,10
gsm-hard-b2-81,False,9679418.666666666,5.076981892439835e+18,524513100142.4626,11.719756339523924,19
gsm-hard-b2-82,True,35335409.0,35335409.0,0.0,-12.0,8
gsm-hard-b2-83,True,7200.0,7200.0,0.0,-12.0,8
gsm-hard-b2-84,True,91.0,91.0,0.0,-12.0,9
gsm-hard-b2-85,False,52414335.0,78621480.0,0.4999995707281224,-0.30103036852408804,7
gsm-hard-b2-86,True,315933300.0,315933300.0,0.0,-12.0,9
gsm-hard-b2-87,True,39741412.0,39741412.0,0.0,-12.0,7
gsm-hard-b2-88,True,40000.0,40000.0,0.0,-12.0,5
gsm-hard-b2-89,True,2225220.75,2225220.75,0.0,-12.0,9
gsm-hard-b2-90,True,8.0,8.0,0.0,-12.0,7
gsm-hard-b2-91,True,4190719.0,4190719.0,0.0,-12.0,8
gsm-hard-b2-92,True,7843411.0,7843411.0,0.0,-12.0,10
gsm-hard-b2-93,True,445110260.6,445110260.6,0.0,-12.0,9
gsm-hard-b2-94,False,1316597.0,-1316590.0,1.9999946832629878,0.30102884114789075,7
gsm-hard-b2-95,True,12.0,12.0,0.0,-12.0,7
