question_id,is_correct,n_steps,depth,n_arithmetic,n_facts,n_conclude,frac_arithmetic,frac_facts,unsupported_arithmetic,unsupported_conclude,conclude_in_degree,max_out_degree,mean_out_degree,mean_in_degree,orphan_nodes,has_unsupported_arith,has_orphan,has_unsupported_conclude,low_fact_ratio,long_chain,motif_count
gsm-hard-0,True,7,5,3,2,1,0.4285714285714285,0.2857142857142857,0,0,2,2,1.1428571428571428,1.1428571428571428,0,0,0,0,0,0,0
gsm-hard-1,True,6,3,2,3,1,0.3333333333333333,0.5,0,0,1,1,0.8333333333333334,0.8333333333333334,0,0,0,0,0,0,0
gsm-hard-2,False,8,5,3,3,1,0.375,0.375,0,0,1,2,1.125,1.125,0,0,0,0,0,0,0
gsm-hard-3,True,9,6,4,3,1,0.4444444444444444,0.3333333333333333,0,0,1,2,1.0,1.0,0,0,0,0,0,1,1
gsm-hard-4,True,6,5,3,1,1,0.5,0.1666666666666666,0,0,1,2,1.3333333333333333,1.3333333333333333,0,0,0,0,1,0,1
gsm-hard-5,True,9,4,4,4,1,0.4444444444444444,0.4444444444444444,0,0,1,2,1.1111111111111112,1.1111111111111112,0,0,0,0,0,0,0
gsm-hard-6,True,10,5,7,2,1,0.7,0.2,0,0,1,3,1.4,1.4,0,0,0,0,1,0,1
gsm-hard-7,True,8,6,6,1,1,0.75,0.125,0,0,1,2,0.875,0.875,1,0,1,0,1,1,3
gsm-hard-8,True,8,4,4,3,1,0.5,0.375,0,0,1,2,0.875,0.875,1,0,1,0,0,0,1
gsm-hard-9,False,6,4,1,2,2,0.1666666666666666,0.3333333333333333,0,0,1,1,0.8333333333333334,0.8333333333333334,0,0,0,0,0,0,0
gsm-hard-10,True,6,4,4,1,1,0.6666666666666666,0.1666666666666666,0,0,1,3,1.1666666666666667,1.1666666666666667,0,0,0,0,1,0,1
gsm-hard-11,True,6,3,2,3,1,0.3333333333333333,0.5,0,0,1,1,0.8333333333333334,0.8333333333333334,0,0,0,0,0,0,0
gsm-hard-12,True,7,4,3,3,1,0.4285714285714285,0.4285714285714285,0,0,1,1,0.8571428571428571,0.8571428571428571,0,0,0,0,0,0,0
gsm-hard-13,True,6,3,3,2,1,0.5,0.3333333333333333,0,0,1,1,0.8333333333333334,0.8333333333333334,0,0,0,0,0,0,0
gsm-hard-14,True,9,6,5,3,1,0.5555555555555556,0.3333333333333333,0,0,1,2,1.1111111111111112,1.1111111111111112,0,0,0,0,0,1,1
gsm-hard-15,True,5,3,3,1,1,0.6,0.2,0,0,1,2,1.0,1.0,0,0,0,0,1,0,1
gsm-hard-16,True,7,5,3,2,1,0.4285714285714285,0.2857142857142857,0,0,1,1,0.8571428571428571,0.8571428571428571,0,0,0,0,0,0,0
gsm-hard-17,True,7,5,5,1,1,0.7142857142857143,0.1428571428571428,0,0,1,2,1.1428571428571428,1.1428571428571428,0,0,0,0,1,0,1
gsm-hard-18,False,10,5,7,2,1,0.7,0.2,0,0,1,2,1.1,1.1,0,0,0,0,1,0,1
gsm-hard-19,True,6,4,3,2,1,0.5,0.3333333333333333,0,0,1,1,0.8333333333333334,0.8333333333333334,0,0,0,0,0,0,0
gsm-hard-20,False,7,5,3,2,1,0.4285714285714285,0.2857142857142857,0,0,1,2,1.0,1.0,0,0,0,0,0,0,0
gsm-hard-21,True,6,4,4,1,1,0.6666666666666666,0.1666666666666666,0,0,1,4,1.3333333333333333,1.3333333333333333,0,0,0,0,1,0,1
gsm-hard-22,True,6,5,3,1,1,0.5,0.1666666666666666,0,0,1,1,0.8333333333333334,0.8333333333333334,0,0,0,0,1,0,1
gsm-hard-23,False,7,4,3,2,1,0.4285714285714285,0.2857142857142857,0,0,1,1,0.8571428571428571,0.8571428571428571,0,0,0,0,0,0,0
gsm-hard-24,True,9,5,2,3,1,0.2222222222222222,0.3333333333333333,0,0,2,3,1.3333333333333333,1.3333333333333333,0,0,0,0,0,0,0
gsm-hard-25,True,10,8,4,3,1,0.4,0.3,0,0,2,3,1.3,1.3,0,0,0,0,0,1,1
gsm-hard-26,True,7,4,5,1,1,0.7142857142857143,0.1428571428571428,0,0,1,4,1.2857142857142858,1.2857142857142858,0,0,0,0,1,0,1
gsm-hard-27,False,7,5,1,2,1,0.1428571428571428,0.2857142857142857,0,0,2,2,1.0,1.0,0,0,0,0,0,0,0
gsm-hard-28,True,6,3,2,3,1,0.3333333333333333,0.5,0,0,1,1,0.8333333333333334,0.8333333333333334,0,0,0,0,0,0,0
gsm-hard-29,True,9,6,7,1,1,0.7777777777777778,0.1111111111111111,0,0,1,3,1.3333333333333333,1.3333333333333333,0,0,0,0,1,1,2
